"Player","Team","Position","Rk","Status","Age","Opponent","Salary","Score","GS","W","L-QS","IP","H","BB","K","SVH3","ERA","WHIP","GP"
"Porter Clayton","TB","SP,RP","1341","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Garrett Cleavinger","LAD","SP,RP","1342","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Paul Clemens","MIN","SP","1343","FA","33","MIN 4<br/>@KC 5 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Maikel Cleto","(N/A)","RP","1344","FA","31","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Matt Cleveland","NYM","SP,RP","1345","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Trevor Clifton","CHC","SP","1346","FA","25","CHC 0<br/>@STL 9 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Will Clinard","DET","SP,RP","1347","FA","31","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"JC Cloney","KC","SP,RP","1348","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Corbin Clouse","ATL","RP","1349","FA","25","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Tyler Cloyd","TB/SEA","RP","1350","FA","33","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Trey Cobb","NYM","SP,RP","1351","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Franny Cobos","HOU","RP","1352","FA","20","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Trey Cochran-Gill","(N/A)","SP,RP","1353","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Taylor Cockrell","ATL","SP,RP","1354","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Kyle Cody","TEX","SP","1355","FA","26","NYY 1<br/>@TEX 6 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Robert Coello","(N/A)","RP","1356","FA","36","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Chase Cohen","OAK","SP,RP","1357","FA","23","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Phil Coke","PIT","RP","1358","FA","38","CIN 3<br/>@PIT 1 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Calvin Coker","OAK","SP,RP","1359","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Mason Cole","TEX","RP","1360","FA","23","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Dylan Coleman","KC","SP,RP","1361","FA","24","MIN 4<br/>@KC 5 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Louis Coleman","DET/NYM","RP","1362","FA","34","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Vince Coletti","OAK","SP,RP","1363","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Austin Coley","PIT","SP,RP","1364","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Edwar Colina","MIN","RP","1365","FA","23","MIN 4<br/>@KC 5 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Leoner Colina","MIL","SP","1366","FA","20","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Mike Colla","PIT","SP,RP","1367","FA","34","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Willy Collado","HOU","RP","1368","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Tommy Collier","DET","SP","1369","FA","31","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Josh Collmenter","(N/A)","SP,RP","1370","FA","35","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Justin Collop","CHW","SP","1371","FA","32","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Gavin Collyer","TEX","SP,RP","1372","FA","19","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jesus Colome","COL","RP","1373","FA","43","MIL 3<br/>@COL 4 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Bartolo Colon","(N/A)","SP","1374","FA","47","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Joe Colon","STL","RP","1375","FA","30","CHC 0<br/>@STL 9 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Brody Colvin","PHI","SP","1376","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Shane Combs","CHC","RP","1377","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Kevin Comer","TOR","SP,RP","1378","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
